gene,set,direction,baseMean,log2FoldChange,lfcSE,stat,padj,Preferred_name,Description,PFAMs,EC,CAZy,KEGG_Pathway
FVEG_00079,H1_pigment_PKS_backbone,down,1585.13093295224,-9.71367178524695,0.949453612255681,-10.2308018631574,2.06872847981496e-22,NA,PKS_KR,"ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt",NA,NA,NA
FVEG_10535,H1_pigment_PKS_backbone,down,4535.71495616009,-9.06331655828715,0.650485975399534,-13.9331467565006,2.03055273235654e-41,NA,Nodulation protein S (NodS),"ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt",NA,NA,NA
FVEG_11086,H1_pigment_PKS_backbone,down,76884.6528426555,-7.6336309982278,0.606787822827402,-12.5803958336836,8.681261298171389e-34,NA,modified amino acid binding,"AMP-binding,Acyl_transf_1,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,NAD_binding_4,PP-binding,PS-DH,ketoacyl-synt",NA,NA,NA
FVEG_11932,H1_pigment_PKS_backbone,down,23434.3113712701,-7.18765928227285,0.433756335063736,-16.570730387642,1.4867055606060401e-58,NA,polyketide synthase,"AMP-binding,Acyl_transf_1,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,Methyltransf_23,NAD_binding_4,PP-binding,PS-DH,ketoacyl-synt",NA,NA,NA
FVEG_17465,H1_pigment_PKS_backbone,up,359.811040770772,3.13252206293175,0.663729283691023,4.71957790608798,3.35549778900072e-5,NA,NA,ketoacyl-synt,NA,NA,NA
FVEG_10717,H1_pigment_carotenoid,down,510.202251419253,-6.34137778232624,0.861910614867782,-7.3573496751737,9.56121796686155e-12,NA,Phytoene dehydrogenase,"Amino_oxidase,NACHT,NAD_binding_8,PNP_UDP_1,SQS_PSY",1.3.99.30,NA,"ko00906,ko01100,ko01110,map00906,map01100,map01110"
FVEG_10718,H1_pigment_carotenoid,down,361.828717645514,-2.99932704584205,0.835169603862611,-3.59127898329912,0.00242667906800179,NA,to carotene cyclase,"4HBT,GPI2,SQS_PSY","2.5.1.32,5.5.1.19",NA,"ko00906,ko01100,ko01110,map00906,map01100,map01110"
FVEG_12358,H1_pigment_melanin_DHN,down,5233.20241893505,-4.88155647393717,0.442860124755053,-11.0227952372934,5.13570697779924e-26,NA,Belongs to the multicopper oxidase family,"Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3",NA,NA,NA
FVEG_12929,H1_pigment_melanin_DHN,down,745.139512992005,-4.19490607065375,0.826746062686804,-5.07399582529721,6.64258314045268e-6,NA,Belongs to the multicopper oxidase family,"Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3",NA,NA,NA
FVEG_08676,H1_pigment_melanin_DHN,down,239.239418503417,-4.05222665189024,1.22076700769752,-3.31941035950269,0.005606815729564,NA,Multicopper oxidase,"Cu-oxidase_2,Cu-oxidase_3",NA,NA,NA
FVEG_04196,H1_pigment_melanin_DHN,up,895.608674721664,2.55620134111082,0.675257790926238,3.78551921275062,0.00127462078689838,NA,to laccase,"Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3",NA,NA,NA
